speaker,scene,lines,gender,actor
Peter,7,4,m,Chiwetel Ejiofor
Peter,9,4,m,Chiwetel Ejiofor
Peter,30,3,m,Chiwetel Ejiofor
Peter,65,2,m,Chiwetel Ejiofor
Joe,66,9,m,Gregor Fisher
Joe,2,3,m,Gregor Fisher
Joe,79,2,m,Gregor Fisher
Joe,17,1,m,Gregor Fisher
Judy,13,5,f,Joanna Page
Judy,20,5,f,Joanna Page
Judy,61,3,f,Joanna Page
Judy,79,2,f,Joanna Page
Judy,6,1,f,Joanna Page
Judy,55,1,f,Joanna Page
Judy,69,1,f,Joanna Page
Tony,21,8,m,Abdul Salis
Tony,12,4,m,Abdul Salis
Tony,54,2,m,Abdul Salis
Tony,57,2,m,Abdul Salis
Tony,79,2,m,Abdul Salis
Karl,50,13,m,Rodrigo Santoro
Karl,49,2,m,Rodrigo Santoro
Karl,63,2,m,Rodrigo Santoro
Karl,16,1,m,Rodrigo Santoro
Karl,25,1,m,Rodrigo Santoro
Mia,53,5,f,Heike Makatsch
Mia,47,4,f,Heike Makatsch
Mia,22,3,f,Heike Makatsch
Mia,31,3,f,Heike Makatsch
Mia,16,2,f,Heike Makatsch
Mia,67,2,f,Heike Makatsch
Juliet,40,11,f,Keira Knightley
Juliet,30,5,f,Keira Knightley
Juliet,65,3,f,Keira Knightley
Juliet,9,1,f,Keira Knightley
Jack,13,7,m,Martin Freeman
Jack,20,6,m,Martin Freeman
Jack,61,4,m,Martin Freeman
Jack,6,2,m,Martin Freeman
Jack,79,2,m,Martin Freeman
Jack,69,1,m,Martin Freeman
Aurelia,39,14,f,Lucia Moniz
Aurelia,78,4,f,Lucia Moniz
Aurelia,38,2,f,Lucia Moniz
Aurelia,45,2,f,Lucia Moniz
Aurelia,32,1,f,Lucia Moniz
Aurelia,79,1,f,Lucia Moniz
Mark,40,11,m,Andrew Lincoln
Mark,30,10,m,Andrew Lincoln
Mark,7,4,m,Andrew Lincoln
Mark,15,4,m,Andrew Lincoln
Mark,9,1,m,Andrew Lincoln
Mark,11,1,m,Andrew Lincoln
Mark,65,1,m,Andrew Lincoln
Mark,79,1,m,Andrew Lincoln
Billy,17,9,m,Bill Nighy
Billy,66,9,m,Bill Nighy
Billy,29,6,m,Bill Nighy
Billy,2,5,m,Bill Nighy
Billy,60,4,m,Bill Nighy
Billy,48,2,m,Bill Nighy
Billy,79,1,m,Bill Nighy
Natalie,68,13,f,Martine McCutcheon
Natalie,27,10,f,Martine McCutcheon
Natalie,8,4,f,Martine McCutcheon
Natalie,19,3,f,Martine McCutcheon
Natalie,70,3,f,Martine McCutcheon
Natalie,34,2,f,Martine McCutcheon
Natalie,69,2,f,Martine McCutcheon
Natalie,67,1,f,Martine McCutcheon
Natalie,71,1,f,Martine McCutcheon
Natalie,79,1,f,Martine McCutcheon
Sarah,50,12,f,Laura Linney
Sarah,16,11,f,Laura Linney
Sarah,15,4,f,Laura Linney
Sarah,52,4,f,Laura Linney
Sarah,31,3,f,Laura Linney
Sarah,49,3,f,Laura Linney
Sarah,63,3,f,Laura Linney
Sarah,25,1,f,Laura Linney
Sam,73,10,m,Thomas Sangster
Sam,24,7,m,Thomas Sangster
Sam,43,7,m,Thomas Sangster
Sam,46,5,m,Thomas Sangster
Sam,59,3,m,Thomas Sangster
Sam,75,3,m,Thomas Sangster
Sam,77,3,m,Thomas Sangster
Sam,28,2,m,Thomas Sangster
Sam,64,2,m,Thomas Sangster
Sam,79,2,m,Thomas Sangster
Sam,69,1,m,Thomas Sangster
Colin,57,19,m,Kris Marshall
Colin,11,10,m,Kris Marshall
Colin,21,9,m,Kris Marshall
Colin,12,5,m,Kris Marshall
Colin,5,4,m,Kris Marshall
Colin,54,3,m,Kris Marshall
Colin,79,1,m,Kris Marshall
Karen,70,11,f,Emma Thompson
Karen,58,8,f,Emma Thompson
Karen,4,6,f,Emma Thompson
Karen,36,6,f,Emma Thompson
Karen,23,5,f,Emma Thompson
Karen,72,5,f,Emma Thompson
Karen,51,4,f,Emma Thompson
Karen,53,4,f,Emma Thompson
Karen,56,3,f,Emma Thompson
Karen,47,1,f,Emma Thompson
Karen,49,1,f,Emma Thompson
Karen,79,1,f,Emma Thompson
Jamie,39,16,m,Colin Firth
Jamie,32,9,m,Colin Firth
Jamie,3,5,m,Colin Firth
Jamie,10,5,m,Colin Firth
Jamie,74,4,m,Colin Firth
Jamie,78,4,m,Colin Firth
Jamie,38,3,m,Colin Firth
Jamie,45,2,m,Colin Firth
Jamie,56,2,m,Colin Firth
Jamie,62,2,m,Colin Firth
Jamie,79,2,m,Colin Firth
Jamie,26,1,m,Colin Firth
Jamie,33,1,m,Colin Firth
Daniel,73,16,m,Liam Neeson
Daniel,24,8,m,Liam Neeson
Daniel,43,8,m,Liam Neeson
Daniel,75,7,m,Liam Neeson
Daniel,23,6,m,Liam Neeson
Daniel,46,6,m,Liam Neeson
Daniel,59,4,m,Liam Neeson
Daniel,4,3,m,Liam Neeson
Daniel,28,3,m,Liam Neeson
Daniel,64,3,m,Liam Neeson
Daniel,14,1,m,Liam Neeson
Daniel,79,1,m,Liam Neeson
Harry,53,25,m,Alan Rickman
Harry,16,9,m,Alan Rickman
Harry,31,6,m,Alan Rickman
Harry,58,5,m,Alan Rickman
Harry,22,4,m,Alan Rickman
Harry,47,4,m,Alan Rickman
Harry,36,3,m,Alan Rickman
Harry,51,3,m,Alan Rickman
Harry,72,3,m,Alan Rickman
Harry,79,3,m,Alan Rickman
Harry,56,1,m,Alan Rickman
PM,67,14,m,Hugh Grant
PM,8,12,m,Hugh Grant
PM,27,12,m,Hugh Grant
PM,34,10,m,Hugh Grant
PM,68,10,m,Hugh Grant
PM,70,9,m,Hugh Grant
PM,19,4,m,Hugh Grant
PM,36,4,m,Hugh Grant
PM,42,4,m,Hugh Grant
PM,18,3,m,Hugh Grant
PM,35,2,m,Hugh Grant
PM,37,2,m,Hugh Grant
PM,44,2,m,Hugh Grant
PM,71,2,m,Hugh Grant
PM,69,1,m,Hugh Grant
PM,79,1,m,Hugh Grant
